,,,,,,,,,,,,,,Per Game,,,,,,Shooting,,,,Advanced,
103,2015,NBA,1,15,ATL,Kelly Oubre,19.203,F,us,University of Kansas,2016,2018,204,19.6,7.3,3.3,0.6,0.7,0.2,0.421,0.49,0.331,0.782,5.9,0.07
104,2016,NBA,1,15,DEN,Juan Hernangomez,20.274,F,es,,2017,2018,83,13,4.5,2.8,0.5,0.4,0.2,0.437,0.508,0.375,0.759,2.2,0.097
105,2017,NBA,1,15,POR,Justin Jackson,22.092,G-F,us,University of North Carolina,2018,2018,48,20,5.9,2.5,0.9,0.5,0.2,0.431,0.522,0.304,0.68,0.3,0.013
106,2011,NBA,1,16,PHI,Nikola Vucevic,20.247,C,ch,University of Southern California,2012,2018,437,29.9,14.8,9.8,2.1,0.8,0.9,0.502,0.51,0.328,0.725,30.9,0.114
107,2012,NBA,1,16,HOU,Royce White,21.085,F,us,Iowa State University,2014,2014,3,3,0,0,0,0,0,0,0,,,0,-0.121
108,2013,NBA,1,16,BOS,Lucas Nogueira,20.341,C,br,,2015,2018,127,13,3.3,2.9,0.5,0.7,1,0.629,0.676,0.258,0.654,5.6,0.163
109,2014,NBA,1,16,CHI,Jusuf Nurkic,19.312,C,ba,,2015,2018,218,21.1,10,6.9,1.5,0.8,1.2,0.475,0.478,0,0.621,6.7,0.07
110,2015,NBA,1,16,BOS,Terry Rozier,21.105,G,us,University of Louisville,2016,2018,176,17.6,6.4,3.2,1.8,0.6,0.1,0.375,0.396,0.348,0.773,5.4,0.083
111,2016,NBA,1,16,BOS,Guerschon Yabusele,20.194,F,fr,,2018,2018,22,5,1.8,1.4,0.3,0,0,0.406,0.5,0.364,0.556,0.3,0.116
112,2017,NBA,1,16,CHI,Justin Patton,20.013,C,us,Creighton University,,,,,,,,,,,,,,,
113,2011,NBA,1,17,NYK,Iman Shumpert,21.002,G,us,Georgia Institute of Technology,2012,2018,384,25.4,7.3,3.4,1.9,1.2,0.2,0.396,0.441,0.338,0.763,11.5,0.057
114,2012,NBA,1,17,DAL,Tyler Zeller,22.168,F-C,us,University of North Carolina,2013,2018,390,17.6,7,4.4,0.9,0.2,0.6,0.506,0.51,0.294,0.76,15.7,0.11
115,2013,NBA,1,17,ATL,Dennis Schroder,19.29,G,de,,2014,2018,343,23.5,12.7,2.5,4.7,0.8,0.1,0.433,0.47,0.32,0.831,10.1,0.06
116,2014,NBA,1,17,BOS,James Young,18.319,G-F,us,University of Kentucky,2015,2018,94,8.5,2.3,1,0.3,0.3,0.1,0.365,0.535,0.277,0.563,0.8,0.048
117,2015,NBA,1,17,MIL,Rashad Vaughn,18.317,G,us,"University of Nevada, Las Vegas",2016,2018,138,12,3.1,1.1,0.5,0.4,0.2,0.338,0.366,0.314,0.692,-0.5,-0.015
118,2016,NBA,1,17,MEM,Wade Baldwin,20.091,G,us,Vanderbilt University,2017,2017,33,12.3,3.2,1.4,1.8,0.5,0.2,0.313,0.355,0.136,0.838,-0.3,-0.041
119,2017,NBA,1,17,MIL,D.J. Wilson,21.129,F,us,University of Michigan,2018,2018,20,3.4,1,0.5,0.2,0.1,0.1,0.571,0.667,0.4,0.5,0.1,0.044
120,2011,NBA,1,18,WAS,Chris Singleton,21.219,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
121,2012,NBA,1,18,HOU,Terrence Jones,20.176,F,us,University of Kentucky,2013,2017,232,24,10.5,5.7,1,0.6,1.2,0.501,0.539,0.299,0.622,14.8,0.128
122,2013,NBA,1,18,ATL,Shane Larkin,20.273,G,us,University of Miami,2014,2018,242,18.8,5.4,1.8,2.8,0.9,0.1,0.425,0.459,0.33,0.772,3.6,0.038
123,2014,NBA,1,18,PHO,Tyler Ennis,19.311,G,ca,Syracuse University,2015,2018,169,12,3.9,1.2,1.9,0.5,0.1,0.41,0.447,0.314,0.762,0.7,0.016
124,2015,NBA,1,18,HOU,Sam Dekker,21.055,F,us,University of Wisconsin,2016,2018,135,15.9,5.5,3.1,0.8,0.4,0.2,0.469,0.585,0.282,0.607,3.9,0.087
125,2016,NBA,1,18,DET,Henry Ellenson,19.166,F,us,Marquette University,2017,2018,44,7,2.8,1.9,0.4,0.1,0,0.353,0.4,0.297,0.5,-0.4,-0.061
126,2017,NBA,1,18,IND,T.J. Leaf,20.058,F,il,"University of California, Los Angeles",2018,2018,43,9.3,3.1,1.6,0.2,0.1,0.1,0.47,0.468,0.472,0.667,0.7,0.081
127,2011,NBA,1,19,CHA,Tobias Harris,18.347,F,us,University of Tennessee,2012,2018,442,29.4,14.4,5.6,1.7,0.7,0.5,0.466,0.509,0.351,0.811,30.6,0.113
128,2012,NBA,1,19,ORL,Andrew Nicholson,22.208,F,ca,St. Bonaventure University,2013,2017,285,14.3,6,3,0.4,0.3,0.3,0.467,0.498,0.321,0.773,3.8,0.045
129,2013,NBA,1,19,CLE,Sergey Karasev,19.249,G-F,ru,,2014,2016,95,11.7,3,1.5,0.9,0.3,0,0.395,0.489,0.282,0.842,0.8,0.036
130,2014,NBA,1,19,CHI,Gary Harris,19.29,G,us,Michigan State University,2015,2018,245,28.3,12.1,2.5,2.1,1.3,0.2,0.467,0.536,0.37,0.796,12.8,0.089
131,2015,NBA,1,19,WAS,Jerian Grant,22.264,G,us,University of Notre Dame,2016,2018,197,18.5,6.5,2.1,3,0.7,0.1,0.414,0.466,0.317,0.791,6.3,0.083
132,2016,NBA,1,19,DEN,Malik Beasley,19.214,G,us,Florida State University,2017,2018,74,9.3,3.4,1.1,0.5,0.3,0.1,0.416,0.496,0.306,0.694,0.4,0.026
133,2017,NBA,1,19,ATL,John Collins,19.277,F,us,Wake Forest University,2018,2018,56,22.6,10.2,7.1,1,0.6,1.2,0.581,0.595,0.316,0.732,4.2,0.161
134,2011,NBA,1,20,MIN,Donatas Motiejunas,20.281,F-C,lt,,2013,2017,248,18.4,7.4,3.8,1.1,0.5,0.3,0.469,0.529,0.3,0.6,7.2,0.076
135,2012,NBA,1,20,DEN,Evan Fournier,19.247,G-F,fr,,2013,2018,372,27.2,13.1,2.7,2.3,0.8,0.1,0.448,0.494,0.381,0.805,15.9,0.075
136,2013,NBA,1,20,CHI,Tony Snell,21.235,G-F,us,University of New Mexico,2014,2018,348,22.6,6.3,2.5,1,0.5,0.2,0.42,0.473,0.379,0.808,9.8,0.06
137,2014,NBA,1,20,TOR,Bruno Caboclo,18.283,F,br,,2015,2018,26,5.1,1.2,0.7,0.3,0.2,0.1,0.265,0.286,0.238,,-0.4,-0.141
138,2015,NBA,1,20,TOR,Delon Wright,23.065,G,us,University of Utah,2016,2018,102,16.5,6.4,2.2,2.2,0.8,0.4,0.455,0.493,0.363,0.81,4.8,0.138
139,2016,NBA,1,20,IND,Caris LeVert,21.308,G-F,us,University of Michigan,2017,2018,110,23.7,9.8,3.5,2.9,1,0.2,0.437,0.51,0.326,0.706,3,0.055
140,2017,NBA,1,20,POR,Harry Giles,19.066,F-C,us,Duke University,,,,,,,,,,,,,,,
141,2011,NBA,1,21,POR,Nolan Smith,22.338,G,us,Duke University,2012,2013,84,9.9,3.3,1,1.2,0.3,0,0.371,0.407,0.26,0.714,-0.8,-0.047
142,2012,NBA,1,21,BOS,Jared Sullinger,20.121,F,us,Ohio State University,2013,2017,269,24.3,10.8,7.5,1.8,0.7,0.6,0.436,0.476,0.272,0.723,15.3,0.113
143,2013,NBA,1,21,UTA,Gorgui Dieng,23.166,C,sn,University of Louisville,2014,2018,359,25,8.4,6.8,1.5,0.9,1.1,0.508,0.518,0.316,0.785,21.1,0.113
144,2014,NBA,1,21,OKC,Mitch McGary,22.025,F-C,us,University of Michigan,2015,2016,52,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0,0.58,1.3,0.108
145,2015,NBA,1,21,DAL,Justin Anderson,21.223,G,us,University of Virginia,2016,2018,156,14.4,5.8,2.8,0.7,0.5,0.3,0.423,0.526,0.3,0.78,3.9,0.084
146,2016,NBA,1,21,ATL,DeAndre Bembry,21.36,F,us,Saint Joseph's University,2017,2018,59,12.5,3.5,1.9,1,0.4,0.3,0.437,0.497,0.214,0.512,-0.2,-0.014
147,2017,NBA,1,21,OKC,Terrance Ferguson,19.041,G-F,us,,2018,2018,47,12.3,2.9,0.8,0.3,0.4,0.1,0.402,0.619,0.3,0.833,0.8,0.064
148,2011,NBA,1,22,DEN,Kenneth Faried,21.221,F,us,Morehead State University,2012,2018,441,24.9,11.4,8.2,1,0.8,0.8,0.543,0.546,0.1,0.655,35.9,0.157
149,2012,NBA,1,22,BOS,Fab Melo,22.014,C,br,Syracuse University,2013,2013,6,6,1.2,0.5,0,0.3,0.3,0.5,0.5,,0.25,0,0.021
150,2013,NBA,1,22,BRK,Mason Plumlee,23.12,C-F,us,Duke University,2014,2018,368,22.7,8.8,6.4,2,0.8,1,0.562,0.566,0,0.565,23.9,0.137
151,2014,NBA,1,22,MEM,Jordan Adams,19.358,G,us,"University of California, Los Angeles",2015,2016,32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07
152,2015,NBA,1,22,CHI,Bobby Portis,20.14,F,us,University of Arkansas,2016,2018,178,18,8.7,5.5,1,0.4,0.3,0.462,0.497,0.337,0.743,6.7,0.101
153,2016,NBA,1,22,CHO,Malachi Richardson,20.175,G,us,Syracuse University,2017,2018,48,10.9,3.5,1.2,0.5,0.3,0,0.367,0.422,0.294,0.78,0,-0.003
154,2017,NBA,1,22,BRK,Jarrett Allen,19.067,F-C,us,University of Texas at Austin,2018,2018,54,19,8.1,5.3,0.7,0.4,0.9,0.591,0.599,0.333,0.777,3.3,0.153
155,2011,NBA,1,23,HOU,Nikola Mirotic,20.137,F,me,,2015,2018,253,23.4,11.5,5.5,1.3,0.8,0.7,0.416,0.491,0.356,0.798,15.9,0.129
156,2012,NBA,1,23,ATL,John Jenkins,21.12,G,us,Vanderbilt University,2013,2017,145,12.8,5.1,1.5,0.8,0.2,0.1,0.448,0.513,0.364,0.849,2.7,0.071
157,2013,NBA,1,23,IND,Solomon Hill,22.107,F,us,University of Arizona,2014,2017,249,23.5,6.4,3.3,1.6,0.7,0.3,0.4,0.447,0.336,0.822,8.7,0.072
158,2014,NBA,1,23,UTA,Rodney Hood,21.254,G-F,us,Duke University,2015,2018,234,27.7,13.1,3.1,2,0.8,0.2,0.418,0.459,0.37,0.829,12.6,0.093
159,2015,NBA,1,23,POR,Rondae Hollis-Jefferson,20.178,F,us,University of Arizona,2016,2018,156,24,9.8,5.9,2,1,0.6,0.452,0.476,0.246,0.765,6.7,0.086
160,2016,NBA,1,23,BOS,Ante Zizic,19.175,F-C,hr,,2018,2018,16,3,1.1,1.1,0.1,0,0.3,0.462,0.462,,0.714,0.1,0.088
161,2017,NBA,1,23,TOR,OG Anunoby,19.345,F,gb,Indiana University,2018,2018,60,20.5,5.9,2.4,0.8,0.8,0.2,0.453,0.592,0.353,0.686,2.5,0.097
162,2011,NBA,1,24,OKC,Reggie Jackson,21.073,G,it,Boston College,2012,2018,436,24.7,12.4,3,4.4,0.7,0.1,0.432,0.473,0.323,0.858,22.9,0.102
163,2012,NBA,1,24,CLE,Jared Cunningham,21.043,G,us,Oregon State University,2013,2016,84,7.2,2.3,0.7,0.5,0.3,0,0.347,0.369,0.306,0.674,0.2,0.017
164,2013,NBA,1,24,NYK,Tim Hardaway,21.108,G,us,University of Michigan,2014,2018,321,24.5,11.7,2.3,1.7,0.6,0.2,0.424,0.5,0.346,0.801,12.5,0.076
165,2014,NBA,1,24,CHH,Shabazz Napier,22.353,G,us,University of Connecticut,2015,2018,214,15.4,5.6,1.6,1.9,0.8,0.1,0.399,0.428,0.366,0.795,4,0.059
166,2015,NBA,1,24,CLE,Tyus Jones,19.05,G,us,Duke University,2016,2018,162,15.5,4.2,1.4,2.7,1,0.1,0.419,0.466,0.341,0.803,4.7,0.089
167,2016,NBA,1,24,PHI,Timothe Luwawu,21.051,F,fr,,2017,2018,117,16.9,6.3,1.9,1.1,0.4,0.1,0.388,0.458,0.321,0.834,1.5,0.036
168,2017,NBA,1,24,UTA,Tyler Lydon,21.079,F,us,Syracuse University,2018,2018,1,2,0,0,0,0,0,,,,,0,-0.011
169,2011,NBA,1,25,BOS,MarShon Brooks,22.153,G-F,us,Providence College,2012,2014,164,17.5,7.7,2.2,1.4,0.6,0.2,0.442,0.472,0.326,0.748,2.5,0.041
170,2012,NBA,1,25,MEM,Tony Wroten,19.081,G,us,University of Washington,2013,2016,145,21.2,11.1,2.5,3,0.9,0.2,0.413,0.477,0.231,0.647,-1.3,-0.021
171,2013,NBA,1,25,LAC,Reggie Bullock,22.109,G-F,us,University of North Carolina,2014,2018,193,14.7,4.7,1.8,0.7,0.4,0.1,0.441,0.504,0.392,0.77,5.4,0.091
172,2014,NBA,1,25,HOU,Clint Capela,20.044,C,ch,,2015,2018,209,22.1,10.5,8,0.8,0.7,1.3,0.629,0.629,0,0.488,18.2,0.19
173,2015,NBA,1,25,MEM,Jarell Martin,21.037,F,us,Louisiana State University,2016,2018,126,16.9,5.5,3.7,0.6,0.5,0.4,0.434,0.447,0.363,0.78,2.6,0.059
174,2016,NBA,1,25,LAC,Brice Johnson,22.002,F,us,University of North Carolina,2017,2018,14,3.9,1.7,1.4,0.1,0.6,0.2,0.5,0.524,0,1,0.1,0.123
175,2017,NBA,1,25,ORL,Anzejs Pasecniks,21.19,C,lv,,,,,,,,,,,,,,,,
176,2011,NBA,1,26,DAL,Jordan Hamilton,20.265,G-F,us,University of Texas at Austin,2012,2016,151,13.9,5.9,2.8,0.8,0.5,0.2,0.408,0.451,0.357,0.67,3,0.069
177,2012,NBA,1,26,IND,Miles Plumlee,23.306,C-F,us,Duke University,2013,2018,314,16.7,5,4.6,0.5,0.5,0.8,0.538,0.538,,0.548,10,0.091
178,2013,NBA,1,26,MIN,Andre Roberson,21.211,G-F,us,University of Colorado,2014,2018,295,22.5,4.6,4,0.9,0.9,0.7,0.482,0.609,0.257,0.467,12.8,0.092
179,2014,NBA,1,26,MIA,P.J. Hairston,21.189,G-F,us,University of North Carolina,2015,2016,111,18,6,2.4,0.5,0.5,0.2,0.343,0.414,0.295,0.81,0.9,0.021
180,2015,NBA,1,26,SAS,Nikola Milutinov,20.182,C,rs,,,,,,,,,,,,,,,,
181,2016,NBA,1,26,PHI,Furkan Korkmaz,18.339,G,tr,,2018,2018,6,5.3,1.5,1,0.3,0.2,0,0.25,0.5,0.125,1,0,-0.019
182,2017,NBA,1,26,POR,Caleb Swanigan,20.07,F,us,Purdue University,2018,2018,18,7.9,2.3,2.1,0.5,0.3,0.2,0.356,0.385,0.167,0.615,-0.1,-0.022
183,2011,NBA,1,27,NJN,JaJuan Johnson,22.14,F,us,Purdue University,2012,2012,36,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,,0.667,0.2,0.032
184,2012,NBA,1,27,MIA,Arnett Moultrie,21.228,F,us,Mississippi State University,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
185,2013,NBA,1,27,DEN,Rudy Gobert,21.006,C,fr,,2014,2018,304,27.5,9.6,9.8,1.2,0.6,2.2,0.609,0.61,0,0.623,34.7,0.199
186,2014,NBA,1,27,PHO,Bogdan Bogdanovic,21.317,G,rs,,2018,2018,59,27.6,11.7,2.8,3.3,1,0.3,0.461,0.506,0.399,0.854,2.2,0.064
187,2015,NBA,1,27,LAL,Larry Nance Jr.,22.18,F-C,us,University of Wyoming,2016,2018,175,21.6,7,5.8,1.2,1.2,0.5,0.55,0.567,0.235,0.684,10.2,0.13
188,2016,NBA,1,27,TOR,Pascal Siakam,22.145,F,cm,New Mexico State University,2017,2018,114,18,5.7,4,1.1,0.7,0.7,0.504,0.586,0.184,0.634,5,0.118
189,2017,NBA,1,27,BRK,Kyle Kuzma,21.339,F,us,University of Utah,2018,2018,60,29.3,15.4,5.9,1.8,0.6,0.5,0.448,0.505,0.364,0.702,2.8,0.077
190,2011,NBA,1,28,CHI,Norris Cole,22.258,G,us,Cleveland State University,2012,2017,360,22.3,7,2,2.7,0.8,0.1,0.407,0.436,0.324,0.743,3,0.018
191,2012,NBA,1,28,OKC,Perry Jones,20.283,F,us,Baylor University,2013,2015,143,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
192,2013,NBA,1,28,SAS,Livio Jean-Charles,19.236,F,gf,,,,,,,,,,,,,,,,
193,2014,NBA,1,28,LAC,C.J. Wilcox,23.184,G,us,University of Washington,2015,2017,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,0.1,0.007
194,2015,NBA,1,28,BOS,R.J. Hunter,21.249,G,us,Georgia State University,2016,2018,41,8,2.4,1,0.4,0.3,0.1,0.364,0.486,0.297,0.857,0.3,0.044
195,2016,NBA,1,28,PHO,Skal Labissiere,20.102,F,ht,University of Kentucky,2017,2018,80,18.8,8.4,4.6,0.9,0.5,0.6,0.494,0.505,0.333,0.735,2.4,0.077
196,2017,NBA,1,28,LAL,Tony Bradley,19.17,F-C,us,University of North Carolina,2018,2018,8,3.5,1,1.4,0.1,0,0,0.273,0.3,0,1,0,0.019
197,2011,NBA,1,29,SAS,Cory Joseph,19.312,G,ca,University of Texas at Austin,2012,2018,425,20.5,6.9,2.4,2.6,0.7,0.2,0.452,0.483,0.329,0.764,17.5,0.096
198,2012,NBA,1,29,CHI,Marquis Teague,19.125,G,us,University of Kentucky,2013,2014,88,9.5,2.3,1,1.4,0.2,0.1,0.349,0.377,0.22,0.686,-0.8,-0.046
199,2013,NBA,1,29,OKC,Archie Goodwin,18.319,G,us,University of Kentucky,2014,2017,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.022
200,2014,NBA,1,29,OKC,Josh Huestis,22.195,F,us,Stanford University,2016,2018,64,14.6,2.5,2.4,0.3,0.2,0.7,0.358,0.429,0.311,0.182,0.6,0.032
201,2015,NBA,1,29,BRK,Chris McCullough,20.145,F,us,Syracuse University,2016,2018,59,9,3.3,1.9,0.3,0.5,0.3,0.426,0.47,0.306,0.548,0.6,0.055
202,2016,NBA,1,29,SAS,Dejounte Murray,19.282,G,us,University of Washington,2017,2018,99,15.5,5.9,3.7,2.3,0.7,0.3,0.438,0.447,0.326,0.715,2,0.064
203,2017,NBA,1,29,SAS,Derrick White,22.361,G,us,University of Colorado,2018,2018,16,7.5,2.5,1.4,0.5,0.3,0.1,0.48,0.471,0.5,0.667,0.3,0.136
204,2011,NBA,1,30,CHI,Jimmy Butler,21.287,F-G,us,Marquette University,2012,2018,455,32.9,16.4,4.9,3.4,1.5,0.5,0.452,0.484,0.34,0.834,57.9,0.186
205,2012,NBA,1,30,GSW,Festus Ezeli,22.256,C,ng,Vanderbilt University,2013,2016,170,14.1,4.2,4.3,0.4,0.3,1,0.513,0.513,,0.557,5.9,0.119
206,2013,NBA,1,30,PHO,Nemanja Nedovic,22.017,G,rs,,2014,2014,24,5.9,1.1,0.6,0.5,0,0,0.205,0.238,0.167,0.875,-0.4,-0.132
207,2014,NBA,1,30,SAS,Kyle Anderson,20.284,F-G,us,"University of California, Los Angeles",2015,2018,237,17.3,4.7,3.5,1.6,0.8,0.5,0.469,0.491,0.328,0.748,10.9,0.127
208,2015,NBA,1,30,GSW,Kevon Looney,19.144,F-C,us,"University of California, Los Angeles",2016,2018,106,9.3,2.7,2.5,0.5,0.3,0.4,0.556,0.571,0.273,0.542,3,0.144
209,2016,NBA,1,30,GSW,Damian Jones,20.364,F-C,us,Vanderbilt University,2017,2018,13,7.2,1.5,1.8,0,0.1,0.4,0.5,0.5,,0.3,0,0.013
210,2017,NBA,1,30,UTA,Josh Hart,22.114,G,us,Villanova University,2018,2018,55,21.5,6.6,3.7,1.2,0.7,0.2,0.461,0.534,0.397,0.656,2.5,0.101
,,,,,,,,, ,,,,,,,,,,,,,,,,
